PRODUCT,STORE,DATE,ORDER_QTY,PRODUCT_TYPE,DIVISION,
P2 4L,S1,10/20/2019,419.84,CONTINUOUS,WEST,
P2 4L,S1,12/29/2019,0,CONTINUOUS,WEST,
P2 4L,S1,10/25/2020,5.12,CONTINUOUS,WEST,
P2 4L,S1,5/30/2021,2.694736842,CONTINUOUS,WEST,
P2 4L,S1,4/14/2019,501.76,CONTINUOUS,EAST,
P2 4L,S1,5/5/2019,322.56,CONTINUOUS,EAST,
P2 4L,S1,3/22/2020,652.8,CONTINUOUS,EAST,
P2 4L,S1,8/23/2020,481.28,CONTINUOUS,EAST,
P2 4L,S1,8/30/2020,770.56,CONTINUOUS,EAST,
P2 4L,S1,11/15/2020,798.72,CONTINUOUS,EAST,
P2 4L,S1,10/3/2021,0,CONTINUOUS,EAST,
P2 4L,S1,1/2/2022,0,CONTINUOUS,EAST,
P1 1L,S1,12/6/2020,417.9348838,SEASONAL,EAST,
P1 1L,S1,8/29/2021,2521.6,SEASONAL,EAST,
P1 1L,S1,11/24/2019,0,SEASONAL,WEST,
P1 1L,S1,2/9/2020,0,SEASONAL,WEST,
P1 1L,S1,5/31/2020,115.2,SEASONAL,WEST,
P1 1L,S1,7/5/2020,1024,SEASONAL,WEST,
P1 1L,S1,11/28/2021,0,SEASONAL,WEST,
P1 1L,S1,5/31/2020,3993.6,SEASONAL,NORTH,
P1 1L,S1,6/14/2020,4576,SEASONAL,NORTH,
P1 1L,S1,6/21/2020,5318.4,SEASONAL,NORTH,
P1 1L,S1,8/9/2020,4147.2,SEASONAL,NORTH,
P1 1L,S1,8/23/2020,3616,SEASONAL,NORTH,
P1 1L,S1,9/6/2020,2297.6,SEASONAL,NORTH,
P1 1L,S1,9/13/2020,1824,SEASONAL,NORTH,
P1 1L,S1,2/21/2021,352,SEASONAL,NORTH,
P1 1L,S1,2/28/2021,403.2,SEASONAL,NORTH,
P1 1L,S1,3/7/2021,1113.6,SEASONAL,NORTH,
P1 1L,S1,4/11/2021,1856,SEASONAL,NORTH,
P1 500ML,S1,5/12/2019,18595.84,SEASONAL,WEST,
P1 500ML,S1,4/12/2020,2626.56,SEASONAL,WEST,
P1 500ML,S1,11/29/2020,919.04,SEASONAL,WEST,
P1 500ML,S1,2/28/2021,2465.28,SEASONAL,WEST,
P1 500ML,S1,11/11/2018,80.64,SEASONAL,SOUTH,
P1 500ML,S1,12/2/2018,34.56,SEASONAL,SOUTH,
P1 500ML,S1,1/6/2019,103.68,SEASONAL,SOUTH,
P1 500ML,S1,3/3/2019,207.36,SEASONAL,SOUTH,
P1 500ML,S1,3/31/2019,472.32,SEASONAL,SOUTH,
P1 500ML,S1,6/16/2019,614.4,SEASONAL,SOUTH,
P1 500ML,S1,7/21/2019,734.72,SEASONAL,SOUTH,
P1 500ML,S1,4/19/2020,426.24,SEASONAL,SOUTH,
P1 500ML,S1,9/20/2020,57.6,SEASONAL,SOUTH,
P1 500ML,S1,1/3/2021,46.08,SEASONAL,SOUTH,
P1 500ML,S1,2/14/2021,57.6,SEASONAL,SOUTH,
P1 500ML,S1,2/28/2021,126.72,SEASONAL,SOUTH,
P1 500ML,S1,10/3/2021,24.23466666,SEASONAL,SOUTH,
P2 4L,S1,3/3/2019,314.88,CONTINUOUS,WEST,
P2 4L,S1,3/17/2019,299.52,CONTINUOUS,WEST,
P2 4L,S1,6/2/2019,48.64,CONTINUOUS,WEST,
P2 4L,S1,8/18/2019,33.28,CONTINUOUS,WEST,
P2 4L,S1,12/1/2019,345.6,CONTINUOUS,WEST,
P2 4L,S1,3/1/2020,197.12,CONTINUOUS,WEST,
P2 4L,S1,9/6/2020,0,CONTINUOUS,WEST,
P2 4L,S1,12/20/2020,0,CONTINUOUS,WEST,
P2 4L,S1,8/1/2021,5.12,CONTINUOUS,WEST,
P2 4L,S1,10/10/2021,12.8,CONTINUOUS,WEST,
P2 4L,S1,7/7/2019,279.04,CONTINUOUS,EAST,
P2 4L,S1,7/14/2019,286.72,CONTINUOUS,EAST,
P2 4L,S1,12/13/2020,693.76,CONTINUOUS,EAST,
P2 4L,S1,1/17/2021,592.5236364,CONTINUOUS,EAST,
P1 1L,S1,11/25/2018,454.4,SEASONAL,EAST,
P1 1L,S1,12/16/2018,832,SEASONAL,EAST,
P1 1L,S1,3/3/2019,768,SEASONAL,EAST,
P1 1L,S1,9/29/2019,371.2,SEASONAL,EAST,
P1 1L,S1,12/1/2019,332.8,SEASONAL,EAST,
P1 1L,S1,2/23/2020,460.8,SEASONAL,EAST,
P1 1L,S1,8/16/2020,1420.8,SEASONAL,EAST,
P1 1L,S1,7/4/2021,1907.2,SEASONAL,EAST,
P1 1L,S1,7/21/2019,1433.6,SEASONAL,WEST,
P1 1L,S1,9/15/2019,153.6,SEASONAL,WEST,
P1 1L,S1,10/6/2019,0,SEASONAL,WEST,
P1 1L,S1,6/14/2020,544,SEASONAL,WEST,
P1 1L,S1,1/10/2021,0,SEASONAL,WEST,
P1 1L,S1,2/21/2021,0,SEASONAL,WEST,
P1 1L,S1,3/28/2021,70.4,SEASONAL,WEST,
P1 1L,S1,6/6/2021,1171.2,SEASONAL,WEST,
P1 1L,S1,10/31/2021,115.2,SEASONAL,WEST,
P1 1L,S1,2/24/2019,198.4,SEASONAL,NORTH,
P1 1L,S1,5/26/2019,3833.6,SEASONAL,NORTH,
P1 1L,S1,3/1/2020,1376,SEASONAL,NORTH,
P1 1L,S1,5/17/2020,2252.8,SEASONAL,NORTH,
P1 1L,S1,7/26/2020,4601.6,SEASONAL,NORTH,
P1 1L,S1,5/9/2021,2636.8,SEASONAL,NORTH,
P1 1L,S1,9/26/2021,2035.2,SEASONAL,NORTH,
P1 1L,S1,10/3/2021,1299.2,SEASONAL,NORTH,
P1 1L,S1,10/24/2021,652.8,SEASONAL,NORTH,
P1 500ML,S1,1/13/2019,403.2,SEASONAL,WEST,
P1 500ML,S1,6/2/2019,21862.4,SEASONAL,WEST,
P1 500ML,S1,6/9/2019,16691.2,SEASONAL,WEST,
P1 500ML,S1,8/11/2019,23031.04,SEASONAL,WEST,
P1 500ML,S1,9/29/2019,2341.12,SEASONAL,WEST,
P1 500ML,S1,3/29/2020,2427.058266,SEASONAL,WEST,
P1 500ML,S1,1/13/2019,195.84,SEASONAL,SOUTH,
P1 500ML,S1,2/3/2019,34.56,SEASONAL,SOUTH,
P1 500ML,S1,3/17/2019,760.32,SEASONAL,SOUTH,
P1 500ML,S1,10/6/2019,126.72,SEASONAL,SOUTH,
P1 500ML,S1,11/10/2019,92.16,SEASONAL,SOUTH,
P1 500ML,S1,2/16/2020,184.32,SEASONAL,SOUTH,
P1 500ML,S1,7/12/2020,561.92,SEASONAL,SOUTH,
P1 500ML,S1,3/14/2021,334.08,SEASONAL,SOUTH,
P1 500ML,S1,5/30/2021,357.12,SEASONAL,SOUTH,
P1 500ML,S1,6/20/2021,560.64,SEASONAL,SOUTH,
P1 500ML,S1,11/21/2021,51.84,SEASONAL,SOUTH,
P1 500ML,S1,1/16/2022,34.56,SEASONAL,SOUTH,
P2 4L,S1,11/4/2018,437.76,CONTINUOUS,WEST,
P2 4L,S1,4/28/2019,296.96,CONTINUOUS,WEST,
P2 4L,S1,5/19/2019,48.64,CONTINUOUS,WEST,
P2 4L,S1,11/3/2019,401.92,CONTINUOUS,WEST,
P2 4L,S1,5/31/2020,0,CONTINUOUS,WEST,
P2 4L,S1,6/14/2020,0,CONTINUOUS,WEST,
P2 4L,S1,8/16/2020,0,CONTINUOUS,WEST,
P2 4L,S1,12/13/2020,2.56,CONTINUOUS,WEST,
P2 4L,S1,3/14/2021,7.68,CONTINUOUS,WEST,
P2 4L,S1,11/21/2021,1.28,CONTINUOUS,WEST,
P2 4L,S1,1/19/2020,343.04,CONTINUOUS,EAST,
P2 4L,S1,3/15/2020,701.44,CONTINUOUS,EAST,
P2 4L,S1,5/17/2020,704,CONTINUOUS,EAST,
P2 4L,S1,12/27/2020,583.68,CONTINUOUS,EAST,
P1 1L,S1,3/17/2019,768,SEASONAL,EAST,
P1 1L,S1,9/8/2019,934.4,SEASONAL,EAST,
P1 1L,S1,2/9/2020,1241.6,SEASONAL,EAST,
P1 1L,S1,10/11/2020,1100.8,SEASONAL,EAST,
P1 1L,S1,5/30/2021,1600,SEASONAL,EAST,
P1 1L,S1,10/17/2021,972.8,SEASONAL,EAST,
P1 1L,S1,6/30/2019,2022.4,SEASONAL,WEST,
P1 1L,S1,4/26/2020,0,SEASONAL,WEST,
P1 1L,S1,7/19/2020,1126.4,SEASONAL,WEST,
P1 1L,S1,10/11/2020,12.8,SEASONAL,WEST,
P1 1L,S1,10/24/2021,128,SEASONAL,WEST,
P1 1L,S1,7/14/2019,4275.2,SEASONAL,NORTH,
P1 1L,S1,11/29/2020,1461.508197,SEASONAL,NORTH,
P1 1L,S1,12/13/2020,339.2,SEASONAL,NORTH,
P1 1L,S1,8/15/2021,5036.8,SEASONAL,NORTH,
P1 500ML,S1,4/14/2019,16432.64,SEASONAL,WEST,
P1 500ML,S1,12/1/2019,716.8,SEASONAL,WEST,
P1 500ML,S1,4/5/2020,1853.717254,SEASONAL,WEST,
P1 500ML,S1,5/23/2021,25047.04,SEASONAL,WEST,
P1 500ML,S1,3/10/2019,391.68,SEASONAL,SOUTH,
P1 500ML,S1,4/7/2019,126.72,SEASONAL,SOUTH,
P1 500ML,S1,12/12/2021,0,SEASONAL,SOUTH,
P1 500ML,S1,12/19/2021,34.56,SEASONAL,SOUTH,
P2 4L,S1,4/21/2019,296.96,CONTINUOUS,WEST,
P2 4L,S1,7/21/2019,266.24,CONTINUOUS,WEST,
P2 4L,S1,4/26/2020,197.12,CONTINUOUS,WEST,
P2 4L,S1,8/2/2020,0,CONTINUOUS,WEST,
P2 4L,S1,4/11/2021,0,CONTINUOUS,WEST,
P2 4L,S1,12/26/2021,0,CONTINUOUS,WEST,
P2 4L,S1,1/2/2022,0,CONTINUOUS,WEST,
P2 4L,S1,1/27/2019,419.84,CONTINUOUS,EAST,
P2 4L,S1,9/26/2021,0,CONTINUOUS,EAST,
P1 1L,S1,2/17/2019,524.8,SEASONAL,EAST,
P1 1L,S1,2/16/2020,1075.2,SEASONAL,EAST,
P1 1L,S1,4/18/2021,960,SEASONAL,EAST,
P1 1L,S1,9/26/2021,1152,SEASONAL,EAST,
P1 1L,S1,1/9/2022,230.4,SEASONAL,EAST,
P1 1L,S1,5/24/2020,3321.6,SEASONAL,NORTH,
P1 1L,S1,7/19/2020,3808,SEASONAL,NORTH,
P1 1L,S1,7/25/2021,5196.8,SEASONAL,NORTH,
P1 1L,S1,9/12/2021,1830.4,SEASONAL,NORTH,
P1 500ML,S1,3/22/2020,2704.463893,SEASONAL,WEST,
